Rates file : INDELible V1.03 


Replicate: 1

alpha was 0 in this partition.

Site	Class	Rate	Partition	Inserted?
167	1	1   	1	 
168	1	1   	1	 
169	1	1   	1	 
170	1	1   	1	 
171	1	1   	1	 
172	1	1   	1	 
173	1	1   	1	 
174	1	1   	1	 
175	1	1   	1	 
176	1	1   	1	 
177	1	1   	1	 
178	1	1   	1	 
179	1	1   	1	 
180	1	1   	1	INSERTION
181	1	1   	1	 
182	1	1   	1	 
183	1	1   	1	 
184	1	1   	1	 
185	1	1   	1	 
186	1	1   	1	 
187	1	1   	1	 
188	1	1   	1	 
189	1	1   	1	 
190	1	1   	1	 
191	1	1   	1	 
192	1	1   	1	 
193	1	1   	1	 
194	1	1   	1	 
195	1	1   	1	 
196	1	1   	1	 
197	1	1   	1	 
198	1	1   	1	 
199	1	1   	1	INSERTION
200	1	1   	1	INSERTION
201	1	1   	1	 
202	1	1   	1	 
203	1	1   	1	 
204	1	1   	1	 
205	1	1   	1	 
206	1	1   	1	 
207	1	1   	1	 
208	1	1   	1	 
209	1	1   	1	 
210	1	1   	1	 
211	1	1   	1	 
212	1	1   	1	 
213	1	1   	1	INSERTION
214	1	1   	1	INSERTION
215	1	1   	1	 
216	1	1   	1	 
217	1	1   	1	 
218	1	1   	1	 
219	1	1   	1	 
220	1	1   	1	 
221	1	1   	1	 
222	1	1   	1	 
223	1	1   	1	 
224	1	1   	1	 
225	1	1   	1	INSERTION
226	1	1   	1	 
227	1	1   	1	 
228	1	1   	1	 
229	1	1   	1	 
230	1	1   	1	 
231	1	1   	1	INSERTION
232	1	1   	1	INSERTION
233	1	1   	1	INSERTION
234	1	1   	1	INSERTION
235	1	1   	1	INSERTION
236	1	1   	1	 
237	1	1   	1	 
238	1	1   	1	 
239	1	1   	1	 
240	1	1   	1	 
241	1	1   	1	 
242	1	1   	1	 
243	1	1   	1	 
244	1	1   	1	 
245	1	1   	1	 
246	1	1   	1	 
247	1	1   	1	INSERTION
248	1	1   	1	 
249	1	1   	1	 
250	1	1   	1	 
251	1	1   	1	 
252	1	1   	1	INSERTION
253	1	1   	1	INSERTION
254	1	1   	1	INSERTION
255	1	1   	1	INSERTION
256	1	1   	1	INSERTION
257	1	1   	1	INSERTION
258	1	1   	1	INSERTION
259	1	1   	1	INSERTION
260	1	1   	1	INSERTION
261	1	1   	1	INSERTION
262	1	1   	1	 
263	1	1   	1	 
264	1	1   	1	INSERTION
265	1	1   	1	INSERTION
266	1	1   	1	 
267	1	1   	1	 
268	1	1   	1	 
269	1	1   	1	 
270	1	1   	1	 
271	1	1   	1	 
272	1	1   	1	 
273	1	1   	1	 
274	1	1   	1	 
275	1	1   	1	 
276	1	1   	1	 
277	1	1   	1	 
